"naics_orig_from_list","naics_recode"
"5111","511110"
"5111","511120"
"5111","511140"
"5111","511130"
"5111","511199"
"5112","511210"
"517","517110"
"517","517919"
"517","517210"
"517","517911"
"517","517410"
"518","518210"
"51913","519130"
"5413","541330"
"5413","541310"
"5413","541380"
"5413","541370"
"5413","541320"
"5413","541360"
"5413","541340"
"5413","541350"
"5414","541410"
"5414","541430"
"5414","541490"
"5414","541420"
"5415","541513"
"5415","541511"
"5415","541512"
"5415","541519"
"5416","541611"
"5416","541620"
"5416","541614"
"5416","541690"
"5416","541612"
"5416","541613"
"5416","541618"
"541711","541711"
"541712","541712"
"61142","611420"
"62151","621511"
"62151","621512"
"6221","622110"
