cip_code,cip_desc,cip_desct
1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES","Agriculture, agriculture operations, and related sciences"
3,NATURAL RESOURCES AND CONSERVATION,Natural resources and conservation
4,ARCHITECTURE AND RELATED SERVICES,Architecture and related services
5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Area, ethnic, cultural, gender, and group studies"
9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS","Communication, journalism, and related programs"
10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES,Communications technologies/technicians and support services
11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer and information sciences and support services
12,PERSONAL AND CULINARY SERVICES,Personal and culinary services
13,EDUCATION,Education
14,ENGINEERING,Engineering
15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,Engineering technologies and engineering-related fields
16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Foreign languages, literatures, and linguistics"
19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,Family and consumer sciences/human sciences
21,TECHNOLOGY EDUCATION/INDUSTRIAL ARTS,Technology education/industrial arts
22,LEGAL PROFESSIONS AND STUDIES,Legal professions and studies
23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,English language and literature/letters
24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES","Liberal arts and sciences, general studies and humanities"
25,LIBRARY SCIENCE,Library science
26,BIOLOGICAL AND BIOMEDICAL SCIENCES,Biological and biomedical sciences
27,MATHEMATICS AND STATISTICS,Mathematics and statistics
28,"MILITARY SCIENCE, LEADERSHIP AND OPERATIONAL ART","Military science, leadership and operational art"
29,MILITARY TECHNOLOGIES AND APPLIED SCIENCES,Military technologies and applied sciences
30,MULTI/INTERDISCIPLINARY STUDIES,Multi/interdisciplinary studies
31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES","Parks, recreation, leisure, and fitness studies"
32,BASIC SKILLS AND DEVELOPMENTAL/REMEDIAL EDUCATION,Basic skills and developmental/remedial education
33,CITIZENSHIP ACTIVITIES,Citizenship activities
34,HEALTH-RELATED KNOWLEDGE AND SKILLS,Health-related knowledge and skills
35,INTERPERSONAL AND SOCIAL SKILLS,Interpersonal and social skills
36,LEISURE AND RECREATIONAL ACTIVITIES,Leisure and recreational activities
37,PERSONAL AWARENESS AND SELF-IMPROVEMENT,Personal awareness and self-improvement
38,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy and religious studies
39,THEOLOGY AND RELIGIOUS VOCATIONS,Theology and religious vocations
40,PHYSICAL SCIENCES,Physical sciences
41,SCIENCE TECHNOLOGIES/TECHNICIANS,Science technologies/technicians
42,PSYCHOLOGY,Psychology
43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES","Homeland security, law enforcement, firefighting and related protective services"
44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS,Public administration and social service professions
45,SOCIAL SCIENCES,Social sciences
46,CONSTRUCTION TRADES,Construction trades
47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,Mechanic and repair technologies/technicians
48,PRECISION PRODUCTION,Precision production
49,TRANSPORTATION AND MATERIALS MOVING,Transportation and materials moving
50,VISUAL AND PERFORMING ARTS,Visual and performing arts
51,HEALTH PROFESSIONS AND RELATED PROGRAMS,Health professions and related programs
52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business, management, marketing, and related support services"
53,HIGH SCHOOL/SECONDARY DIPLOMAS AND CERTIFICATES,High school/secondary diplomas and certificates
54,HISTORY,History
60,RESIDENCY PROGRAMS,Residency programs
